Author (Last Name),Author (First Name),Predicted Nationality,Country Probability,Actual Nationality,Identity,Title(s),Publisher,Publication Year,Primary Language,LC Subclass,Recorded Uses - Item,Recorded Uses - Title,Local Interest,Allocated for Retention,HathiTrust Public Domain,HathiTrust In Copyright,HathiTrust URL,OPAC URL,WorldCat URL,OCLC Work ID,WorldCat OCLC Number,Bib Record Number,Bib Control Number,Item Control Number,Item Type Code,Item Status Code
Abdel-Fattah,Randa,Sudan,0.2285138324,Australia,,The lines we cross,"New York : Scholastic Press, 2017.",2017,eng,PZ ,5,5,No,No,No,No,,Catalog Record,WorldCat Record,4211820711:eng,960833666,ocn960833666,ocn960833666,30527024006187,Book,ON_LOAN
Aguilar-San Juan,Kariʹn,unknown,1,unknown,,The People make the peace : lessons from the Vietnam antiwar movement,"Charlottesville, VA : Just World Books, c2015.",2015,eng,DS ,10,10,Yes,Yes,No,No,,Catalog Record,WorldCat Record,2860530905:eng,921889081,ocn921889081,ocn921889081,30527024267102,Book,ON_LOAN
Alko,Selina,Ghana,0.16940433,Canada,,The case for Loving : the fight for interracial marriage,"New York : Arthur A. Levine Books, an imprint of Scholastic Inc., [2015]",2015,eng,HQ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,2883322958:eng,875055783,ocn875055783,ocn875055783,30527023984483,Book,AVAILABLE
Banaji,Mahzarin R.,unknown,1,USA,,Blindspot : hidden biases of good people,"New York : Bantam Books, 2016.",2016,eng,BF ,2,2,No,No,No,No,,Catalog Record,WorldCat Record,1167331282:eng,956383687,ocn956383687,ocn956383687,30527024670727,Book,AVAILABLE
Barnet,Sylvan,France,1,USA,,A short guide to writing about art,"Upper Saddle River : Pearson, 2015.",2015,eng,N  ,4,4,No,No,No,No,,Catalog Record,WorldCat Record,1004639:eng,861356558,ocn861356558,ocn861356558,30527024122083,Book,AVAILABLE
Beaton,Kate,Saint Vincent and the Grenadines,0.83957201,Canada,,The princess and the pony,"New York, NY : Arthur A. Levine Books, an imprint of Scholastic Inc., 2015.",2015,eng,PZ ,2,2,No,No,No,No,,Catalog Record,WorldCat Record,2575844457:eng,891324300,ocn891324300,ocn891324300,30527024066579,Book,AVAILABLE
Blaschke,Estelle,,0.17730597,unknown,,Banking on Images : the Bettmann Archive and Corbis,"Leipzig : Spector Books, [2016]",2016,eng,TR ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,2247583500:eng,953999370,ocn953999370,ocn953999370,30527024144574,Book,AVAILABLE
Brown,Rita Mae.,unknown,1,USA,,Ru,"New York : Bantam Books, 2015.",2015,eng,PS ,4,4,No,No,No,No,,Catalog Record,WorldCat Record,1296841:eng,918899947,ocn918899947,ocn918899947,30527024301786,Book,ON_LOAN
Burroway,Janet,Ghana,0.15073783,American,,Imaginative writing : the elements of craft,"Boston : Pearson, 2015.",2015,eng,PE ,37,37,No,No,No,No,,Catalog Record,WorldCat Record,1004204:eng,918898794,ocn918898794,ocn918898794,30527024017630,Book,AVAILABLE
Callender,Kheryn,unknown,1,"Saint Thomas, US Virgin Islands",,Hurricane child,"New York : Scholastic Press, 2018.",2018,eng,PZ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,4458934111:eng,1000585897,on1000585897,on1000585897,30527024681492,Book,AVAILABLE
Carter,Christine,Philippines,0.05608698,USA,,The sweet spot : how to find your groove at home and work,"New York : Ballantine Books, [2015]",2015,eng,BF ,5,5,No,No,No,No,,Catalog Record,WorldCat Record,2276660258:eng,891718656,ocn891718656,ocn891718656,30527024126589,Book,AVAILABLE
